YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,FLOODS
2404,24.8,48.4,5.1,60.7,64.1,124.4,386.1,239.9,191.4,119.1,51.5,6.1,1321.5,73.2,129.9,941.7,176.7,1
2405,10.2,29.8,21.3,73.1,62.6,166.9,220.4,331.0,126.2,114.0,36.8,35.5,1227.6,40.0,157.0,844.3,186.3,1
2406,12.2,3.3,45.2,57.6,83.4,126.2,290.3,261.4,192.3,0.0,0.7,31.1,1103.6,15.5,186.1,870.2,31.8,0
2407,10.9,28.8,11.1,47.2,51.0,130.1,314.4,163.0,255.4,81.9,0.0,6.7,1100.6,39.7,109.3,862.9,88.6,1
2408,7.6,0.3,0.0,78.0,9.3,155.8,276.8,213.2,280.6,67.0,74.7,10.8,1174.1,8.0,87.2,926.4,152.4,1
2409,18.6,37.2,25.9,38.1,75.8,210.7,322.2,250.7,173.5,97.1,22.4,29.8,1301.9,55.7,139.8,957.1,149.2,1
2410,8.0,15.4,27.4,67.7,30.3,156.2,352.4,373.0,103.7,74.6,20.7,35.8,1265.3,23.4,125.5,985.3,131.1,1
2411,21.2,20.7,32.4,38.7,35.1,234.3,365.2,341.3,233.7,78.8,37.9,2.1,1441.3,41.9,106.2,1174.5,118.8,1
2412,17.4,40.6,43.1,54.5,62.0,120.1,413.0,390.4,175.6,49.2,44.0,5.0,1414.9,58.0,159.6,1099.2,98.2,1
2413,15.1,4.0,41.5,42.5,59.3,106.1,271.9,392.4,239.0,109.9,46.5,14.4,1342.9,19.1,143.3,1009.6,170.9,1
2414,7.1,2.4,34.7,43.8,22.5,280.9,199.5,243.6,204.6,144.9,68.5,0.0,1252.5,9.5,100.9,928.7,213.4,1
2415,11.1,13.8,51.5,36.7,66.6,138.8,320.1,267.2,144.1,49.8,63.0,16.2,1178.9,24.9,154.9,870.1,129.0,1
2416,27.1,36.5,2.7,74.6,89.1,102.9,426.9,252.0,193.0,28.9,16.8,29.0,1279.5,63.6,166.3,974.8,74.7,1
2417,24.0,0.7,39.1,28.9,30.4,79.2,261.6,234.3,258.0,82.8,52.4,0.2,1091.6,24.7,98.4,833.2,135.3,1
2418,6.3,0.0,41.3,28.7,97.6,234.1,343.1,154.8,182.2,80.9,25.3,17.4,1211.8,6.3,167.6,914.2,123.6,1
2419,19.2,15.7,7.7,91.7,18.3,156.2,343.7,279.0,136.2,126.5,30.2,9.6,1234.0,34.9,117.7,915.1,166.3,1
2420,27.0,29.7,2.9,66.5,121.3,161.0,308.4,192.6,107.4,35.3,11.1,34.0,1097.4,56.7,190.7,769.4,80.5,0
2421,0.0,38.8,16.6,0.0,50.5,166.2,295.5,277.7,149.8,61.6,0.0,9.7,1066.4,38.8,67.1,889.3,71.3,1
2422,24.5,15.5,18.1,32.6,66.1,230.7,230.4,423.9,168.7,0.4,32.4,32.7,1275.9,40.0,116.7,1053.6,65.5,1
2423,10.0,16.2,43.6,5.1,9.0,165.1,135.3,245.4,232.6,134.2,13.9,9.4,1020.0,26.3,57.7,778.4,157.6,0
2424,24.8,38.2,18.9,24.1,60.3,303.9,217.2,293.2,131.7,91.5,51.6,24.5,1279.9,63.0,103.3,946.1,167.6,1
2425,8.8,0.0,14.6,0.0,68.4,182.4,267.7,341.7,270.8,64.4,27.4,18.8,1264.8,8.8,83.0,1062.5,110.5,1
2426,0.0,16.6,19.0,42.0,59.6,233.4,371.8,299.1,120.5,31.8,39.2,14.5,1247.3,16.6,120.6,1024.7,85.4,1
2427,0.0,24.7,50.1,19.9,46.2,219.3,287.8,299.9,311.2,35.2,60.4,7.3,1362.0,24.7,116.2,1118.2,102.9,1
2428,18.6,28.3,30.2,46.3,35.5,173.0,258.7,255.4,279.7,97.7,3.3,19.6,1246.3,46.9,112.0,966.7,120.6,0
2429,21.1,14.9,26.8,9.2,93.7,142.7,232.6,264.2,197.3,39.9,18.5,11.2,1072.2,36.0,129.7,836.9,69.6,1
2430,7.1,22.5,28.0,46.8,62.9,193.3,341.0,214.7,104.3,86.0,36.6,8.4,1151.6,29.6,137.7,853.3,131.0,1
2431,25.7,0.0,53.3,35.9,105.1,203.1,390.1,337.5,187.1,159.6,39.3,32.2,1568.8,25.7,194.3,1117.8,231.1,1
2432,0.0,12.8,16.5,78.0,47.3,143.5,369.4,161.6,169.9,68.8,55.1,22.0,1144.9,12.8,141.8,844.4,145.9,1
2433,17.2,28.3,53.7,76.0,49.8,184.1,337.4,346.0,123.7,45.5,50.3,23.1,1335.3,45.6,179.6,991.4,118.9,1
2434,3.5,8.2,33.8,62.3,84.8,243.0,191.7,184.5,205.1,96.5,34.9,11.7,1160.1,11.7,180.9,824.4,143.1,1
2435,10.2,22.8,27.1,37.8,16.6,288.8,270.4,345.5,147.2,35.4,39.1,14.0,1254.8,33.0,81.5,1051.9,88.4,1
2436,18.6,28.3,75.0,88.7,28.0,222.0,431.3,255.9,152.8,147.4,39.6,13.3,1500.9,46.8,191.7,1062.1,200.2,1
2437,7.7,17.2,11.0,10.8,92.7,277.5,373.5,196.2,179.4,135.3,3.6,19.7,1324.7,24.9,114.6,1026.6,158.7,1
2438,13.4,24.4,23.6,14.1,29.2,140.4,187.4,319.4,160.1,75.8,29.9,23.1,1040.7,37.8,66.9,807.3,128.7,0
2439,30.1,8.5,7.8,43.2,11.1,213.6,291.1,343.2,298.1,47.9,38.0,15.7,1348.1,38.6,62.0,1145.9,101.5,1
2440,11.1,19.1,47.1,94.6,114.3,248.6,320.4,250.2,162.1,65.8,42.2,7.3,1382.9,30.2,256.1,981.4,115.3,1
2441,28.0,30.5,60.4,40.5,23.0,125.7,241.6,329.0,212.9,70.8,14.5,24.4,1201.4,58.6,123.9,909.3,109.6,0
2442,4.4,24.2,60.1,41.0,67.2,148.3,133.4,124.6,197.6,96.6,7.6,16.4,921.2,28.6,168.2,603.8,120.6,0
2443,24.4,13.8,52.0,13.3,63.9,270.6,301.9,190.2,208.3,121.5,28.3,0.2,1288.4,38.1,129.2,971.0,150.0,1
2444,35.3,25.1,26.4,65.8,0.0,121.4,239.9,367.9,212.3,42.6,72.3,0.0,1209.1,60.4,92.3,941.4,115.0,1
2445,0.0,32.0,23.4,66.0,54.5,101.2,240.1,264.8,235.8,120.4,16.6,19.3,1174.2,32.0,143.9,842.0,156.3,1
2446,8.4,0.0,0.0,62.4,74.6,259.0,270.2,153.4,203.9,105.5,56.5,6.9,1200.6,8.4,136.9,886.4,168.8,1
2447,24.9,38.2,66.6,31.2,71.9,240.8,285.6,232.5,201.7,62.7,64.7,20.7,1341.7,63.2,169.7,960.6,148.1,1
2448,15.6,17.3,38.4,29.5,87.3,198.8,294.4,217.2,193.0,40.7,33.9,7.5,1173.5,32.9,155.2,903.4,82.1,1
2449,22.5,28.0,21.1,16.6,51.2,172.5,233.1,268.7,182.8,86.4,19.4,17.5,1119.7,50.4,88.8,857.1,123.3,1
2450,10.8,38.8,53.9,46.8,82.0,150.9,279.6,254.8,142.6,41.7,43.3,11.8,1156.9,49.5,182.7,827.8,96.8,1
2451,19.0,2.8,12.5,21.2,42.7,190.5,172.0,292.2,186.8,120.9,36.9,35.3,1132.8,21.8,76.4,841.5,193.1,1
2452,16.1,12.1,37.3,19.1,22.5,261.9,316.8,275.3,202.5,39.3,15.8,26.5,1245.2,28.2,78.9,1056.5,81.6,1
2453,32.0,18.0,26.9,35.7,25.7,188.1,95.1,372.5,210.9,102.8,19.8,30.8,1158.2,50.0,88.2,866.6,153.5,1
2454,21.1,11.0,41.5,34.2,21.1,294.2,274.7,308.9,199.4,78.9,42.1,16.3,1343.3,32.1,96.8,1077.2,137.3,1
2455,22.1,46.3,28.9,33.2,90.3,125.6,359.3,311.1,177.9,60.7,51.7,25.0,1332.0,68.3,152.3,974.0,137.4,0
2456,13.1,10.0,3.9,55.3,19.6,173.9,220.8,359.2,187.0,78.1,26.5,17.0,1164.5,23.1,78.7,941.0,121.6,1
2457,12.1,14.2,31.4,46.7,69.7,154.5,345.2,253.6,161.2,123.0,31.6,32.2,1275.4,26.4,147.8,914.4,186.8,1
2458,12.8,24.9,48.9,38.7,54.6,115.3,375.9,194.2,206.3,36.7,46.4,15.2,1169.7,37.7,142.1,891.7,98.3,1
2459,22.7,5.2,29.5,49.0,59.1,166.6,63.4,362.1,178.5,66.3,29.6,0.6,1032.6,27.9,137.6,770.6,96.5,0
2460,12.9,16.5,44.0,23.2,100.2,198.0,284.4,289.2,199.4,53.4,27.0,0.0,1248.2,29.4,167.3,971.0,80.4,1
2461,21.5,26.4,11.2,47.3,49.7,203.8,93.7,289.5,242.0,80.5,17.9,34.4,1118.0,47.9,108.2,829.0,132.8,1
2462,42.9,17.3,29.5,48.3,79.1,294.4,286.7,236.9,153.1,56.0,17.5,21.3,1283.1,60.2,157.0,971.1,94.8,1
2463,28.5,20.7,18.8,11.9,63.1,200.5,294.5,238.1,221.0,14.8,86.4,22.0,1220.2,49.1,93.7,954.1,123.2,1
2464,14.1,14.6,43.4,66.9,57.7,238.3,121.2,337.6,191.7,41.9,29.1,32.4,1188.9,28.7,168.1,888.8,103.4,1
2465,32.4,0.8,30.6,25.6,126.4,178.6,429.7,347.0,295.1,144.2,60.3,0.0,1670.8,33.2,182.6,1250.4,204.5,1
2466,13.1,26.5,42.4,47.0,21.6,267.3,315.0,333.3,178.8,91.4,66.7,12.1,1415.1,39.6,111.1,1094.4,170.1,1
2467,0.0,46.6,49.6,70.6,98.1,306.9,235.6,333.9,226.1,90.1,29.3,13.4,1500.2,46.6,218.3,1102.6,132.8,1
2468,5.9,22.3,42.4,65.4,80.4,204.2,397.6,318.7,190.8,71.3,40.4,24.2,1463.4,28.2,188.2,1111.3,135.8,1
2469,0.0,25.2,34.9,45.8,48.6,120.4,169.3,288.9,117.8,80.0,35.0,8.4,974.3,25.2,129.2,696.5,123.5,1
2470,13.8,31.7,12.0,37.0,107.6,144.8,209.0,268.1,162.9,65.7,0.8,2.8,1056.1,45.5,156.7,784.8,69.2,1
2471,18.2,4.2,29.9,65.8,10.3,190.5,134.0,362.3,235.8,102.0,2.0,2.7,1157.8,22.5,106.0,922.6,106.7,1
2472,38.1,45.8,20.4,59.8,47.4,200.1,421.1,254.6,167.5,85.8,34.0,28.6,1403.3,84.0,127.6,1043.3,148.5,1
2473,21.9,24.8,23.8,31.4,28.2,213.4,318.3,305.2,74.5,37.5,24.5,7.8,1111.3,46.8,83.4,911.4,69.8,1
2474,15.4,44.8,23.3,27.5,73.5,200.3,341.2,225.3,188.4,91.6,70.8,9.9,1312.1,60.2,124.3,955.2,172.4,1
2475,28.0,11.7,12.4,0.0,30.8,175.4,316.1,235.2,133.2,0.0,28.3,23.0,994.0,39.7,43.2,859.8,51.2,0
2476,0.0,47.5,0.0,48.4,74.1,140.0,335.2,263.9,196.9,97.7,72.0,8.3,1284.0,47.5,122.5,936.0,178.1,1
2477,20.8,32.9,18.0,43.2,56.8,197.1,300.5,225.3,270.7,28.4,23.5,0.0,1217.0,53.7,117.9,993.5,51.9,1
2478,27.3,29.7,33.5,70.0,48.6,277.0,314.0,334.3,230.0,78.3,71.2,0.0,1513.9,57.0,152.1,1155.3,149.6,1
2479,0.3,25.3,5.7,52.9,72.9,231.1,302.5,188.3,269.9,36.6,43.1,15.4,1244.0,25.5,131.5,991.9,95.1,1
2480,31.7,18.5,30.3,74.4,54.5,204.4,252.4,286.7,160.8,82.1,44.3,21.5,1261.6,50.2,159.1,904.4,147.8,1
2481,22.1,38.8,64.2,29.7,31.5,231.6,291.7,289.0,182.6,104.0,22.8,13.8,1321.7,60.9,125.4,994.9,140.5,1
2482,13.0,24.0,48.4,70.0,140.4,154.6,314.2,156.9,135.7,139.1,44.5,20.7,1261.6,37.0,258.9,761.3,204.4,1
2483,25.6,0.0,59.6,33.4,48.4,147.0,302.7,250.0,154.4,23.4,66.9,0.0,1111.4,25.6,141.3,854.2,90.3,1
2484,45.2,6.4,37.0,62.1,0.0,133.9,191.6,297.4,141.8,119.1,30.1,0.0,1064.5,51.6,99.1,764.6,149.2,1
2485,20.2,19.4,51.0,12.9,38.4,168.1,200.9,309.2,122.1,87.0,26.2,40.8,1096.1,39.6,102.3,800.2,154.0,1
2486,21.0,26.3,17.0,50.2,26.5,151.8,370.8,266.1,261.0,64.9,28.1,29.6,1313.2,47.3,93.7,1049.7,122.5,1
2487,12.5,21.2,18.4,1.3,85.1,241.5,273.5,326.0,81.2,110.9,65.4,24.5,1261.5,33.7,104.9,922.2,200.7,1
2488,7.8,39.1,0.0,39.1,71.0,148.9,335.9,272.6,261.2,73.0,50.1,8.7,1307.5,46.9,110.1,1018.6,131.9,1
2489,28.0,0.0,51.4,54.7,73.2,130.9,218.6,280.9,254.8,109.3,62.0,13.4,1276.9,28.0,179.2,885.1,184.6,1
2490,7.7,24.0,57.7,33.5,51.6,281.8,191.9,297.1,216.0,44.3,39.3,16.0,1261.0,31.7,142.9,986.8,99.5,1
2491,18.9,0.0,20.0,21.9,54.2,150.2,235.9,343.0,132.0,57.9,33.8,30.5,1098.4,18.9,96.1,861.2,122.2,0
2492,12.3,32.6,25.4,63.6,51.6,183.4,279.4,234.1,107.7,117.9,41.5,20.4,1170.0,44.9,140.7,804.6,179.8,1
2493,23.7,20.7,16.4,42.7,59.7,199.8,248.4,246.9,161.5,138.4,54.4,21.8,1234.6,44.4,118.9,856.6,214.6,1
2494,22.0,27.9,36.9,34.2,85.4,112.5,385.6,234.5,222.5,80.7,28.1,14.2,1284.3,49.9,156.5,955.1,122.9,1
2495,30.5,9.9,50.2,45.9,71.4,243.0,307.6,257.4,190.2,0.0,60.4,24.7,1291.1,40.4,167.6,998.1,85.1,1
2496,11.9,39.9,0.0,103.0,76.0,210.0,424.4,377.0,135.7,74.4,40.3,19.3,1512.1,51.8,179.0,1147.2,134.1,1
2497,14.8,36.6,37.4,70.4,76.0,260.7,323.3,318.9,249.7,83.2,0.0,16.5,1487.5,51.3,183.7,1152.7,99.7,1
2498,6.3,30.2,25.0,70.6,86.8,137.6,126.1,203.1,277.6,73.2,50.7,7.8,1094.9,36.4,182.4,744.4,131.7,0
2499,12.7,20.2,32.0,54.6,70.1,180.5,368.9,239.2,178.2,94.8,7.6,14.8,1273.4,32.9,156.7,966.8,117.1,1
2500,22.5,30.1,38.3,48.7,72.0,177.2,189.3,305.3,195.7,63.9,50.2,4.1,1197.3,52.6,159.0,867.5,118.2,1
2501,27.1,12.1,26.6,0.0,95.3,189.5,311.1,218.4,111.5,113.9,51.0,15.6,1172.1,39.2,121.9,830.5,180.5,1
2502,6.9,34.0,28.1,30.1,43.4,95.0,240.8,230.7,168.5,37.7,39.6,17.0,971.6,40.9,101.6,734.9,94.2,1
2503,28.4,45.1,26.2,34.4,38.0,181.1,445.0,371.5,216.5,129.0,43.9,0.0,1559.1,73.5,98.6,1214.1,172.9,1
2504,34.3,37.0,47.5,3.8,28.8,96.5,395.8,238.3,208.5,140.9,55.0,13.5,1299.7,71.3,80.0,939.1,209.3,1
2505,23.0,11.8,37.5,19.5,67.1,194.7,243.1,344.9,163.6,47.3,23.1,3.1,1178.7,34.7,124.2,946.3,73.5,1
2506,40.5,27.1,34.0,1.4,10.1,57.9,286.1,365.4,175.7,47.3,48.9,21.5,1115.8,67.6,45.5,885.1,117.6,1
2507,8.7,3.9,7.1,44.2,74.9,73.2,312.1,230.1,166.7,97.6,56.3,23.0,1097.9,12.6,126.2,782.2,176.9,0
2508,3.1,30.0,23.2,63.0,58.9,220.0,355.4,219.5,175.5,36.9,68.2,11.3,1265.1,33.1,145.1,970.5,116.4,1
2509,0.0,28.3,46.2,69.3,93.8,144.9,297.0,261.2,212.0,63.3,10.9,22.0,1249.0,28.3,209.3,915.2,96.2,1
2510,36.0,0.0,30.7,54.1,43.2,120.7,223.3,206.0,87.7,123.9,41.2,22.5,989.1,36.0,128.0,637.6,187.6,1
2511,25.9,5.7,41.9,23.8,56.3,244.9,244.8,288.2,186.1,110.0,13.8,13.5,1254.9,31.6,122.0,964.0,137.3,1
2512,17.3,18.0,61.8,2.5,93.4,193.0,294.7,266.0,208.2,157.2,12.9,32.9,1358.0,35.4,157.7,961.9,203.0,1
2513,21.4,17.8,48.7,6.3,100.7,223.0,381.4,304.5,160.3,88.5,40.2,8.0,1400.8,39.1,155.8,1069.2,136.7,1
2514,4.5,5.1,31.7,17.1,43.0,165.9,324.9,375.0,165.1,58.8,34.5,32.2,1257.7,9.6,91.7,1030.9,125.5,1
2515,47.3,27.4,20.8,25.4,67.1,322.4,240.9,335.6,166.6,83.9,55.9,13.5,1406.9,74.8,113.3,1065.4,153.4,1
2516,19.6,25.5,0.0,41.5,70.2,141.8,340.4,313.3,165.1,76.3,26.1,6.7,1226.4,45.1,111.7,960.5,109.1,1
2517,19.3,19.3,27.0,22.7,72.5,270.9,267.9,146.3,190.3,76.8,30.3,12.1,1155.4,38.6,122.1,875.5,119.3,1
2518,26.7,11.4,24.1,52.5,54.6,171.6,357.3,310.1,196.7,81.1,37.2,3.9,1327.4,38.1,131.2,1035.8,122.2,1
2519,23.8,36.7,37.0,39.9,97.9,84.0,471.9,397.1,80.8,46.6,15.8,24.6,1356.0,60.5,174.8,1033.8,87.0,1
2520,20.7,45.2,27.2,45.2,9.1,201.6,269.9,75.3,223.9,92.7,18.5,0.0,1029.3,65.9,81.6,770.7,111.3,1
2521,8.5,15.2,24.2,70.1,50.2,192.3,351.1,326.9,174.9,28.5,55.3,31.3,1328.6,23.7,144.5,1045.2,115.1,1
2522,23.7,13.4,0.0,19.0,74.5,117.2,242.8,269.2,290.5,54.8,22.0,5.7,1132.8,37.1,93.6,919.7,82.5,1
2523,40.6,28.9,13.1,54.2,74.8,124.3,287.1,222.2,128.0,77.5,56.6,25.2,1132.6,69.5,142.1,761.7,159.3,1
2524,34.1,17.0,38.6,44.7,99.9,173.6,297.1,334.5,144.9,0.0,45.1,16.3,1245.8,51.1,183.1,950.1,61.4,0
2525,37.1,20.0,60.9,37.7,95.6,194.2,281.4,396.3,179.4,111.2,2.0,19.0,1434.9,57.2,194.1,1051.4,132.3,1
2526,11.9,32.4,28.2,64.5,54.0,39.1,467.4,332.7,211.5,4.0,43.6,9.5,1298.8,44.2,146.7,1050.7,57.1,1
2527,6.1,0.0,35.9,64.3,98.4,232.9,273.5,254.8,88.6,107.4,43.4,19.9,1225.3,6.1,198.6,849.8,170.8,1
2528,16.5,40.5,47.1,24.2,42.0,147.8,336.1,215.8,146.9,32.9,41.5,17.5,1108.7,56.9,113.3,846.6,91.8,1
2529,18.7,23.0,15.4,41.0,88.1,101.8,159.9,289.8,220.7,66.6,30.2,0.0,1055.2,41.7,144.5,772.2,96.8,1
2530,31.1,16.2,36.6,51.2,112.7,226.8,325.2,339.4,140.7,101.7,14.2,5.4,1401.3,47.4,200.5,1032.1,121.3,1
2531,0.0,20.8,16.7,39.0,96.0,173.7,374.9,253.7,261.2,165.5,59.9,10.0,1471.5,20.8,151.7,1063.6,235.5,1
2532,36.4,21.5,45.6,57.9,65.0,241.9,258.1,260.3,166.4,86.4,31.0,7.7,1277.9,57.8,168.4,926.6,125.1,1
2533,16.1,0.0,32.7,51.2,52.7,199.1,119.3,471.9,143.2,6.7,15.3,29.8,1138.0,16.1,136.6,933.5,51.8,1
2534,12.9,42.9,35.4,85.3,19.2,174.9,292.3,353.3,221.7,118.2,42.1,16.1,1414.5,55.8,139.9,1042.3,176.5,1
2535,5.9,22.6,15.9,11.3,70.7,166.6,296.2,358.2,273.6,73.2,18.1,7.4,1319.7,28.4,97.9,1094.6,98.8,1
2536,0.0,28.2,42.7,42.3,30.8,201.5,345.7,180.7,211.7,84.7,14.0,10.6,1192.9,28.2,115.8,939.6,109.3,1
2537,27.9,35.3,67.5,25.0,39.8,152.3,435.8,231.9,255.5,103.2,25.5,10.5,1410.1,63.2,132.3,1075.5,139.1,1
2538,18.9,7.7,11.9,58.3,28.7,128.1,268.4,285.1,277.2,0.0,19.7,12.8,1116.7,26.6,98.8,958.8,32.5,1
2539,2.5,28.6,23.9,9.4,49.1,208.5,235.1,211.9,142.1,82.2,14.8,4.2,1012.3,31.1,82.4,797.6,101.2,0
2540,2.5,18.3,34.2,52.6,61.2,167.1,213.3,388.8,238.8,66.4,49.1,7.0,1299.3,20.7,148.0,1008.0,122.6,1
2541,14.0,33.9,44.2,31.1,69.7,176.8,308.9,375.9,110.8,128.4,30.7,24.4,1348.8,47.8,145.0,972.4,183.6,1
2542,38.0,0.0,19.9,28.8,45.2,234.9,328.6,243.7,212.1,109.6,58.0,18.0,1337.0,38.0,94.0,1019.3,185.7,1
2543,14.9,20.6,0.0,13.2,91.9,168.7,256.8,401.3,186.3,20.2,15.9,14.3,1204.2,35.5,105.1,1013.1,50.4,1
2544,0.0,13.6,54.5,34.8,56.2,175.8,349.5,279.7,254.6,130.0,0.0,16.0,1364.7,13.6,145.4,1059.7,146.0,1
2545,15.1,28.1,43.7,68.9,39.9,142.0,327.6,456.1,251.0,99.1,36.0,15.5,1522.8,43.1,152.5,1176.6,150.6,1
2546,14.7,28.6,0.0,44.4,68.3,198.7,298.0,289.8,219.6,23.2,70.1,13.7,1269.3,43.3,112.8,1006.2,107.0,0
2547,0.0,12.1,19.1,58.8,117.0,194.2,231.8,319.2,205.5,84.1,43.6,21.7,1307.1,12.1,194.9,950.8,149.4,1
2548,17.3,12.0,58.2,81.6,71.4,224.5,261.3,375.2,216.4,121.3,97.3,20.9,1557.6,29.4,211.2,1077.4,239.5,1
2549,15.2,20.5,56.1,50.8,51.8,143.1,124.9,366.9,193.2,35.9,39.6,0.0,1098.0,35.7,158.7,828.2,75.5,1
2550,26.4,9.4,46.9,32.7,19.2,149.8,311.5,314.7,186.8,134.3,37.7,14.6,1284.1,35.8,98.8,962.9,186.6,1
2551,40.2,33.8,26.8,55.3,55.9,218.6,296.8,270.4,265.0,24.5,0.0,0.0,1287.3,74.0,138.0,1050.8,24.5,1
2552,31.5,16.8,31.5,33.0,68.6,188.9,308.2,315.0,271.3,51.9,41.6,23.0,1381.2,48.3,133.1,1083.3,116.5,1
2553,14.8,0.0,27.6,33.9,51.1,125.2,330.3,224.5,182.6,46.2,36.4,24.4,1097.0,14.8,112.7,862.6,107.0,0
2554,4.7,16.8,50.3,11.6,15.4,246.9,322.0,290.3,202.4,134.3,24.9,9.3,1328.7,21.5,77.2,1061.6,168.5,1
2555,48.9,7.5,14.2,65.4,38.2,81.6,287.3,204.6,194.2,63.3,30.3,14.7,1050.1,56.3,117.8,767.7,108.3,0
2556,18.7,0.0,15.5,36.5,102.7,218.1,298.4,158.9,106.2,37.8,31.6,0.0,1024.5,18.7,154.7,781.6,69.5,1
2557,18.2,4.7,48.2,49.0,102.2,105.4,196.7,283.4,172.5,98.9,29.4,26.7,1135.3,22.8,199.3,758.0,155.0,1
2558,17.7,23.5,29.2,22.2,37.2,278.7,254.1,365.8,273.2,107.1,74.8,23.8,1507.4,41.2,88.6,1171.9,205.7,1
2559,20.4,40.6,54.8,54.6,80.8,90.0,298.5,343.0,151.0,107.4,25.6,28.7,1295.4,61.0,190.2,882.5,161.6,1
2560,16.3,26.4,17.9,28.2,29.0,238.4,243.5,274.4,300.0,71.7,36.4,32.4,1314.5,42.7,75.2,1056.3,140.4,1
2561,11.1,13.5,29.0,41.9,101.3,170.5,355.2,398.8,251.0,91.7,24.9,2.5,1491.4,24.6,172.2,1175.5,119.1,1
2562,11.4,28.4,13.4,64.3,68.9,154.8,248.9,241.3,210.9,57.3,48.7,25.8,1174.0,39.8,146.6,855.9,131.7,1
2563,17.6,15.6,30.1,62.4,88.6,185.2,310.1,149.6,219.2,145.6,36.5,32.3,1292.8,33.2,181.1,864.1,214.5,1
2564,11.5,12.3,3.4,44.5,14.0,209.8,303.2,131.6,142.3,125.5,27.4,0.0,1025.4,23.8,61.9,786.8,152.9,0
2565,9.4,5.8,21.2,6.1,81.0,125.3,347.2,199.7,176.2,123.2,0.0,14.1,1109.2,15.3,108.3,848.4,137.3,1
2566,19.3,0.0,4.1,110.8,61.8,130.1,358.1,335.5,265.0,112.2,37.9,12.0,1446.8,19.3,176.8,1088.7,162.0,1
2567,14.9,16.5,42.5,83.4,85.9,210.7,343.6,236.8,158.0,101.7,26.8,25.4,1346.4,31.5,211.8,949.2,154.0,1
2568,36.0,24.2,42.9,60.9,87.6,81.1,147.6,311.3,245.2,34.7,31.8,0.0,1103.4,60.3,191.4,785.2,66.5,1
2569,0.0,20.6,0.0,28.4,63.8,142.9,378.6,391.9,118.4,106.1,9.4,36.0,1296.1,20.6,92.3,1031.8,151.4,1
2570,31.1,16.2,54.0,42.5,45.2,342.2,401.9,205.2,127.7,86.3,61.7,14.8,1428.8,47.3,141.7,1077.0,162.8,1
2571,33.0,8.8,75.0,33.0,83.8,121.8,261.3,312.5,288.9,130.0,50.1,26.1,1424.2,41.7,191.8,984.4,206.2,1
2572,0.0,30.5,30.8,72.8,60.3,238.1,311.6,316.6,189.4,112.7,61.6,15.3,1439.8,30.5,163.9,1055.7,189.6,1
2573,13.9,3.6,18.5,50.8,37.6,142.8,232.6,221.5,162.0,102.9,55.9,21.4,1063.4,17.4,106.8,758.9,180.3,0
2574,13.5,32.9,80.8,27.7,36.2,203.0,158.6,372.1,260.9,18.0,44.8,0.0,1248.6,46.4,144.8,994.6,62.8,0
2575,1.1,8.0,6.3,34.6,20.6,211.0,243.3,260.4,254.8,78.6,10.2,11.8,1140.7,9.1,61.5,969.5,100.5,1
2576,8.7,11.5,30.4,69.7,47.7,237.1,257.2,253.9,237.9,60.8,69.9,25.3,1309.9,20.1,147.7,986.1,156.0,1
2577,4.7,1.5,33.2,80.2,92.9,164.0,270.2,423.6,160.4,91.6,14.4,19.2,1355.8,6.1,206.3,1018.1,125.2,1
2578,39.0,15.0,54.2,78.6,67.0,284.4,227.9,315.5,175.1,66.2,27.6,0.0,1350.6,54.0,199.8,1002.9,93.8,1
2579,29.2,35.7,36.5,61.7,47.2,142.6,243.7,342.9,206.2,71.5,47.1,16.7,1280.9,64.9,145.3,935.4,135.3,1
2580,33.3,29.2,21.0,39.4,84.5,187.9,294.2,372.1,226.1,99.4,48.1,7.0,1442.4,62.5,145.0,1080.4,154.6,1
2581,26.7,35.7,12.9,0.0,38.7,188.5,241.1,235.8,163.6,65.6,44.4,6.0,1058.9,62.4,51.6,828.9,116.1,0
2582,4.5,29.3,23.8,51.5,64.7,113.3,333.0,365.0,198.9,86.6,25.0,0.0,1295.6,33.8,140.1,1010.2,111.6,1
2583,11.7,6.5,11.9,45.0,57.0,159.3,342.7,245.9,203.9,24.3,20.9,22.8,1151.8,18.3,113.8,951.8,67.9,1
2584,23.9,17.4,30.9,48.1,83.8,183.9,461.6,243.0,256.9,50.4,83.7,28.2,1511.7,41.2,162.8,1145.4,162.3,1
2585,3.3,11.1,19.8,46.2,17.8,151.2,373.8,261.5,229.2,106.9,32.2,39.3,1292.5,14.4,83.9,1015.8,178.5,1
2586,26.6,40.6,3.1,15.8,38.2,309.3,312.0,237.7,111.6,35.3,29.8,0.0,1159.9,67.2,57.1,970.6,65.0,1
2587,15.1,5.2,52.6,57.3,16.1,128.9,251.6,335.9,178.9,129.3,18.7,24.4,1214.1,20.4,126.0,895.3,172.5,1
2588,13.5,34.5,21.0,58.9,54.7,239.9,315.6,298.2,141.7,119.0,37.9,25.2,1360.1,48.0,134.7,995.3,182.1,1
2589,26.5,34.5,7.2,60.0,95.9,222.1,317.9,246.6,219.5,71.8,37.0,9.6,1348.6,61.0,163.1,1006.1,118.4,1
2590,23.3,47.6,27.0,65.8,47.8,174.2,259.1,325.9,238.0,196.0,32.7,5.9,1443.3,70.9,140.6,997.2,234.5,1
